2021-01-17 at 16:03:22 EET : WeatherInformation{longitude=121.4667, latitude=31.1667, iconId='01n', description='clear sky', temperature=2.28, pressure=1030.0, humidity=55.0, windSpeed=2.0}
2021-01-17 at 16:03:24 EET : WeatherInformation{longitude=116.3914, latitude=39.905, iconId='01n', description='clear sky', temperature=-0.89, pressure=1013.0, humidity=31.0, windSpeed=1.71}
2021-01-17 at 16:03:25 EET : WeatherInformation{longitude=13.3833, latitude=52.5167, iconId='04d', description='broken clouds', temperature=0.46, pressure=989.0, humidity=83.0, windSpeed=0.79}
2021-01-17 at 16:03:27 EET : WeatherInformation{longitude=10.0, latitude=53.55, iconId='01d', description='clear sky', temperature=0.67, pressure=1018.0, humidity=74.0, windSpeed=4.12}
2021-01-17 at 16:03:29 EET : WeatherInformation{longitude=12.4828, latitude=41.8931, iconId='04d', description='broken clouds', temperature=5.16, pressure=1013.0, humidity=81.0, windSpeed=3.09}
2021-01-17 at 16:03:31 EET : WeatherInformation{longitude=9.19, latitude=45.4669, iconId='01d', description='clear sky', temperature=4.84, pressure=1014.0, humidity=65.0, windSpeed=1.54}
2021-01-17 at 16:03:34 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 16:04:21 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 16:04:21 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02d', description='few clouds', temperature=-6.71, pressure=1015.0, humidity=79.0, windSpeed=1.54}
2021-01-17 at 16:04:24 EET : WeatherInformation{longitude=26.0993, latitude=44.4366, iconId='01d', description='clear sky', temperature=-2.51, pressure=1016.0, humidity=59.0, windSpeed=3.6}
2021-01-17 at 16:04:25 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04d', description='overcast clouds', temperature=-9.53, pressure=1009.0, humidity=72.0, windSpeed=0.45}
2021-01-17 at 16:04:28 EET : WeatherInformation{longitude=24.15, latitude=45.8, iconId='02d', description='few clouds', temperature=-5.0, pressure=1014.0, humidity=68.0, windSpeed=0.46}
2021-01-17 at 16:04:30 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04d', description='overcast clouds', temperature=-9.53, pressure=1009.0, humidity=72.0, windSpeed=0.45}
2021-01-17 at 16:04:33 EET : WeatherInformation{longitude=26.0993, latitude=44.4366, iconId='01d', description='clear sky', temperature=-2.51, pressure=1016.0, humidity=59.0, windSpeed=3.6}
2021-01-17 at 17:10:08 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02n', description='few clouds', temperature=-7.43, pressure=1016.0, humidity=79.0, windSpeed=1.03}
2021-01-17 at 17:10:08 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02n', description='few clouds', temperature=-7.43, pressure=1016.0, humidity=79.0, windSpeed=1.03}
2021-01-17 at 17:10:13 EET : WeatherInformation{longitude=25.6012, latitude=45.658, iconId='04n', description='overcast clouds', temperature=-10.41, pressure=1010.0, humidity=74.0, windSpeed=1.06}
2021-01-17 at 17:10:14 EET : WeatherInformation{longitude=13.2344, latitude=-8.8383, iconId='02d', description='few clouds', temperature=31.0, pressure=1006.0, humidity=55.0, windSpeed=7.2}
2021-01-17 at 17:10:15 EET : WeatherInformation{longitude=15.7333, latitude=-12.7667, iconId='04d', description='broken clouds', temperature=28.0, pressure=1017.0, humidity=32.0, windSpeed=2.57}
2021-01-17 at 17:10:17 EET : WeatherInformation{longitude=13.3833, latitude=52.5167, iconId='04d', description='broken clouds', temperature=-0.11, pressure=1020.0, humidity=74.0, windSpeed=1.03}
2021-01-17 at 17:10:18 EET : WeatherInformation{longitude=10.0, latitude=53.55, iconId='01d', description='clear sky', temperature=0.4, pressure=1019.0, humidity=74.0, windSpeed=3.09}
2021-01-17 at 17:10:19 EET : WeatherInformation{longitude=23.8743, latitude=47.143, iconId='02n', description='few clouds', temperature=-7.43, pressure=1016.0, humidity=79.0, windSpeed=1.03}
2021-01-17 at 17:12:12 EET : WeatherInformation{longitude=26.0997, latitude=44.4446, iconId='01n', description='clear sky', temperature=-2.79, pressure=1016.0, humidity=54.0, windSpeed=2.57}
